LANDING_TITLETEXT	Dax contra los Gremlins
ACTIVITIES_3_EXERCISES_3_VARIANTCONFIG_REPLACE_CONFIG_TOOLTIPTOGGLE_TOOLTIPTEXT	¿Necesitaste reservar tiempo para hablar con una persona determinada?<br/>¿Tuviste que conseguir equipos o materiales?<br/>¿Tuviste que encontrar un momento o un lugar para trabajar en una nueva aptitud?
ACTIVITIES_3_EXERCISES_4_TITLETEXT	¡CONTINÚA ESCRIBIENDO!
ACTIVITIES_3_EXERCISES_4_SUBTITLETEXT	¡La motivación de Dax aumenta!
ACTIVITIES_3_EXERCISES_5_TITLETEXT	¿Qué gremlins frustraobjetivos podrían aparecer y cómo los vencerás?
ACTIVITIES_3_EXERCISES_5_CONFIG_TOOLTIPTOGGLE_LABELTEXT	¿No estás seguro de lo que escribirás? Prueba con algunos generadores de ideas.
ACTIVITIES_3_EXERCISES_5_CONFIG_TOOLTIPTOGGLE_TOOLTIPTEXT	¿Cómo puedes lograr que Embrollón deje de complicarte o que Distractor no siga afectando tu atención?<br/>¿Cómo repelerás a Vendaval de Excusas si aparece?<br/>¿Qué puedes hacer para detener a Procrastinator o ahuyentar a Vampiro?<br/>¿Viste otra clase de gremlin frustraobjetivos? ¿Puedes describirla?
ACTIVITIES_3_EXERCISES_5_CONFIG_PLACEHOLDERTEXT	Agrega tu respuesta aquí para continuar.
ACTIVITIES_3_EXERCISES_5_VARIANTCONFIG_REPLACE_TITLETEXT	¿A qué gremlins frustraobjetivos enfrentaste y cómo los venciste?
ACTIVITIES_3_EXERCISES_5_VARIANTCONFIG_REPLACE_CONFIG_TOOLTIPTOGGLE_TOOLTIPTEXT	¿Cómo lograste que Embrollón dejara de complicarte o que Distractor no siguiera afectando tu atención?<br/>¿Cómo repeliste a Vendaval de Excusas?<br/>¿Qué hiciste para detener a Procrastinator o ahuyentar a Vampiro?<br/>¿Te enfrentaste a otra clase de gremlin frustraobjetivos? ¿Puedes describirla?
ACTIVITIES_3_SUMMARY_TITLETEXT	Esto es lo que afirmaste sobre tu objetivo:
ACTIVITIES_3_SUMMARY_IMAGE_TITLETEXT	¡Cumplidor de objetivos!
ACTIVITIES_3_SUMMARY_IMAGE_SUBTITLETEXT	Dax está muy entusiasmada y lista para hacer el esfuerzo final y alcanzar su objetivo.
ACTIVITIES_3_SUMMARY_RESULTS_0_QUESTIONTEXT	Tu objectivo:
ACTIVITIES_3_SUMMARY_RESULTS_1_QUESTIONTEXT	¿Qué te mantuvo/mantendrá motivado para alcanzar tu objetivo?
ACTIVITIES_3_SUMMARY_RESULTS_2_QUESTIONTEXT	¿Qué ayuda tú necesitarás/necesitaste para alcanzar tu objetivo?
ACTIVITIES_3_SUMMARY_RESULTS_3_QUESTIONTEXT	¿Qué objetivos los gremlins pudieran mostrar/mostraron y cómo tú los vencerás/venciste ?
ACTIVITIES_4_LANDING_TITLETEXT	Objetivos soñados
ACTIVITIES_4_LANDING_CONFIG_SPEECHBUBBLE_0_BUBBLETEXT	¡Hurra! ¡Dax se liberó de los gremlins!
ACTIVITIES_4_LANDING_CONFIG_SPEECHBUBBLE_1_BUBBLETEXT	¡Esa fue mi mejor voltereta lateral hasta el momento! ¡La multitud enloquece! Clásico de ti, Marsh.
ACTIVITIES_4_LANDING_CONFIG_SPEECHBUBBLE_2_BUBBLETEXT	¡Esa fue mi mejor voltereta lateral hasta el momento! ¡La multitud enloquece! Clásico de ti, Marsh.
ACTIVITIES_4_LANDING_DESCRIPTIONTEXT	Mira cómo los objetivos pueden ayudar a hacer realidad los sueños.
ACTIVITIES_4_LANDING_DESCRIPTIONALTTEXT	Mira cómo los objetivos pueden ayudar a hacer realidad los sueños.
ACTIVITIES_4_LANDING_CTATEXT	Iniciar actividad
ACTIVITIES_4_HUB_TITLETEXT	¡Ahuyentaste a esos gremlins frustraobjetivos!
ACTIVITIES_4_HUB_DESCRIPTIONTEXT	Ayuda a más Xellions a definir objetivos para cumplir grandes sueños en esta misión final.
ACTIVITIES_4_HUB_ACTIVITIES_0_TITLETEXT	Objetivos y gremlins
ACTIVITIES_4_HUB_ACTIVITIES_1_TITLETEXT	Objetivos bien claros
ACTIVITIES_4_HUB_ACTIVITIES_2_TITLETEXT	Combatir contra los gremlins
ACTIVITIES_4_HUB_ACTIVITIES_3_TITLETEXT	Observar objetivos
ACTIVITIES_4_HUB_ACTIVITIES_4_TITLETEXT	Objetivos soñados
ACTIVITIES_4_HUB_HUBACTIONS_0_HUBACTIONTEXT	Ver el video de nuevo
ACTIVITIES_4_HUB_HUBACTIONS_0_CONFIG_TITLETEXT	Cómo definir objetivos
ACTIVITIES_4_HUB_HUBACTIONS_1_HUBACTIONTEXT	Leer la historia de nuevo
ACTIVITIES_4_HUB_HUBACTIONS_1_CONFIG_TITLETEXT	Misión: Definir objetivos
ACTIVITIES_4_EXERCISES_0_TITLETEXT	Elige el objetivo que podría hacer que se cumpla el sueño de <b>Treble</b>.
ACTIVITIES_4_EXERCISES_0_OPTIONS_0_SHORTTEXT	Aprender a tocar la guitarra
ACTIVITIES_4_EXERCISES_0_OPTIONS_0_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_0_OPTIONS_1_SHORTTEXT	Tocar 1 canción en el piano en un concierto escolar
ACTIVITIES_4_EXERCISES_0_OPTIONS_1_ANSWERTEXT	Sí. Treble podría sentirse cómodo jugando frente al público.
ACTIVITIES_4_EXERCISES_0_OPTIONS_2_SHORTTEXT	Escribir un libro en capítulos
ACTIVITIES_4_EXERCISES_0_OPTIONS_2_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_1_TITLETEXT	Elige el objetivo que podría hacer que se cumpla el sueño de <b>Atlas</b>.
ACTIVITIES_4_EXERCISES_1_OPTIONS_0_SHORTTEXT	Completar un curso sobre seguridad en el agua
ACTIVITIES_4_EXERCISES_1_OPTIONS_0_ANSWERTEXT	¡Entendido! Preservar la seguridad en el agua es un paso importante para el sueño de Atlas.
ACTIVITIES_4_EXERCISES_1_OPTIONS_1_SHORTTEXT	Aprender a saltar desde el trampolín más alto
ACTIVITIES_4_EXERCISES_1_OPTIONS_1_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_1_OPTIONS_2_SHORTTEXT	Aprender a surfear
ACTIVITIES_4_EXERCISES_1_OPTIONS_2_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_2_TITLETEXT	Elige el objetivo que podría hacer que se cumpla el sueño de <b>Chip</b>.
ACTIVITIES_4_EXERCISES_2_OPTIONS_0_SHORTTEXT	Participar en prácticas de fútbol 3 veces a la semana
ACTIVITIES_4_EXERCISES_2_OPTIONS_0_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_2_OPTIONS_1_SHORTTEXT	Usar juegos basados en código para aprender aspectos básicos sobre los programas informáticos
ACTIVITIES_4_EXERCISES_2_OPTIONS_1_ANSWERTEXT	¡Por supuesto! Chip puede ver si disfrutaría aprendiendo las aptitudes necesarias para crear su propia app.
ACTIVITIES_4_EXERCISES_2_OPTIONS_2_SHORTTEXT	Ingresar en la escuela de cocina
ACTIVITIES_4_EXERCISES_2_OPTIONS_2_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_3_TITLETEXT	Elige el objetivo que podría hacer que se cumpla el sueño de <b>Dart</b>.
ACTIVITIES_4_EXERCISES_3_OPTIONS_0_SHORTTEXT	Comenzar a ofrecer servicios de cuidado de mascotas a amigos y vecinos
ACTIVITIES_4_EXERCISES_3_OPTIONS_0_ANSWERTEXT	¡Sin lugar a dudas! Es una excelente alternativa para que Dart empiece a concretar su sueño.
ACTIVITIES_4_EXERCISES_3_OPTIONS_1_SHORTTEXT	Completar un curso de cuidado de niños
ACTIVITIES_4_EXERCISES_3_OPTIONS_1_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_3_OPTIONS_2_SHORTTEXT	Aprender a pescar
ACTIVITIES_4_EXERCISES_3_OPTIONS_2_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_4_TITLETEXT	Elige el objetivo que podría hacer que se cumpla el sueño de <b>Newt</b>.
ACTIVITIES_4_EXERCISES_4_OPTIONS_0_SHORTTEXT	Recoger basura en el patio de la escuela todas las semanas
ACTIVITIES_4_EXERCISES_4_OPTIONS_0_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_4_OPTIONS_1_SHORTTEXT	Dibujar caricaturas para el periódico de la escuela
ACTIVITIES_4_EXERCISES_4_OPTIONS_1_ANSWERTEXT	Mmm... inténtalo de nuevo.
ACTIVITIES_4_EXERCISES_4_OPTIONS_2_SHORTTEXT	Entrevistar a la enfermera de la escuela para conocer su trabajo
ACTIVITIES_4_EXERCISES_4_OPTIONS_2_ANSWERTEXT	¡Genial! Newt puede descubrir si le gustaría trabajar con enfermera
ACTIVITIES_4_SUMMARY_TITLETEXT	A continuación, se muestran objetivos que permiten alcanzar ciertos sueños:
ACTIVITIES_4_SUMMARY_IMAGE_TITLETEXT	¡Genial!
ACTIVITIES_4_SUMMARY_IMAGE_SUBTITLETEXT	Tú y Dax están listos para destacarse al definir y alcanzar objetivos.
ACTIVITIES_4_SUMMARY_RESULTS_0_QUESTIONTEXT	Treble
ACTIVITIES_4_SUMMARY_RESULTS_1_QUESTIONTEXT	Atlas
ACTIVITIES_4_SUMMARY_RESULTS_2_QUESTIONTEXT	Chip
ACTIVITIES_4_SUMMARY_RESULTS_3_QUESTIONTEXT	Dart
ACTIVITIES_4_SUMMARY_RESULTS_4_QUESTIONTEXT	Newt
ACTIVITIES_5_EXERCISES_0_CONFIG_COMICS_0_SPEECHBUBBLES_0_BUBBLETEXT	“¡Así se lucha contra esos gremlins astutos!”, dijo con entusiasmo Marsh chocando las cinco con Dax. <br/>“Resultaron astutos”. Dax asintió. “Gracias por ayudarme a repelerlos. ¡Es extraño, pero creo que mis volteretas laterales mejoraron después de todo esto!”.<br/>“Tal vez enfrentar gremlins da fuerza”, los ojos de Marsh se abrieron mucho, “como comer espinaca! ¡¿Es posible que los gremlins sean la espinaca de los objetivos?!”.
ACTIVITIES_5_EXERCISES_0_CONFIG_COMICS_1_SPEECHBUBBLES_0_BUBBLETEXT	“Algo es con seguridad cierto”, Pep le aseguro a Dax, “si esos gremlins aparecen a de nuevo, sabrás cómo deshacerte de ellos”. <br/>“Mi estómago hace ruidos. Vamos por unos licuados”, sugirió Dax. “¡Oh! Y podré retomar mi historia espeluznante donde la dejé”. <br/>“¡No, gracias!”, dijo Marsh rápidamente, aún recuperándose de la invasión de gremlins. “¿Y si la cambias por una historia graciosa? Una sobre muchos conejitos y gatitos lindos.
SUMMARY_TITLETEXT	¡Lo lograste!
SUMMARY_SUBTITLETEXT	
SUMMARY_DESCRIPTIONTEXT	¡Ejercitaste tu aptitud para alcanzar objetivos y ayudaste a Dax a vencer a los gremlins!
SUMMARY_SUBHEADINGTEXT	Puedes disfrutar de tus resultados en cualquier momento:
